date,buy_price,sell_price
2015-01-01,34950,35150
2015-01-02,34900,35150
2015-01-03,34900,35200
2015-01-04,34900,35200
2015-01-05,35080,35180
2015-01-06,35190,35260
2015-01-07,35210,35300
2015-01-08,35130,35220
2015-01-09,35110,35210
2015-01-10,35180,35270
2015-01-11,35180,35270
2015-01-12,35180,35270
2015-01-13,35270,35360
2015-01-14,35220,35310
2015-01-15,35210,35300
2015-01-16,35380,35470
2015-01-17,35510,35600
2015-01-18,35510,35600
2015-01-19,35470,35560
2015-01-20,35470,35560
2015-01-21,35730,35820
2015-01-22,35610,35700
2015-01-23,35610,35700
2015-01-24,35600,35690
2015-01-25,35600,35690
2015-01-26,35460,35550
2015-01-27,35330,35420
2015-01-28,35350,35440
2015-01-29,35320,35410
2015-01-30,35240,35330
2015-01-31,35360,35450
2015-02-01,35360,35450
2015-02-02,35250,35340
2015-02-03,35270,35380
2015-02-04,35210,35300
2015-02-05,35230,35320
2015-02-06,35250,35340
2015-02-07,35110,35200
2015-02-08,35110,35200
2015-02-09,35200,35290
2015-02-10,35210,35300
2015-02-11,35210,35300
2015-02-12,35240,35330
2015-02-13,35300,35420
2015-02-14,35350,35470
2015-02-15,35350,35470
2015-02-16,35600,35800
2015-02-17,35600,35800
2015-02-18,35600,35800
2015-02-19,35600,35800
2015-02-20,35600,35800
2015-02-21,35600,35800
2015-02-22,35600,35800
2015-02-23,35600,35800
2015-02-24,35280,35370
2015-02-25,35390,35480
2015-02-26,35600,35690
2015-02-27,35420,35550
2015-02-28,35450,35700
2015-03-01,35450,35700
2015-03-02,35430,35530
2015-03-03,35360,35450
2015-03-04,35340,35430
2015-03-05,35290,35380
2015-03-06,35300,35390
2015-03-07,35130,35250
2015-03-08,35130,35250
2015-03-09,35210,35310
2015-03-10,35180,35280
2015-03-11,35190,35280
2015-03-12,35210,35300
2015-03-13,35250,35340
2015-03-14,35320,35420
2015-03-15,35320,35420
2015-03-16,35290,35340
2015-03-17,35220,35310
2015-03-18,35190,35280
2015-03-19,35240,35330
2015-03-20,35250,35340
2015-03-21,35270,35380
2015-03-22,35270,35380
2015-03-23,35270,35360
2015-03-24,35270,35360
2015-03-25,35240,35330
2015-03-26,35310,35400
2015-03-27,35240,35330
2015-03-28,35230,35330
2015-03-29,35230,35330
2015-03-30,35160,35240
2015-03-31,35090,35170
2015-04-01,35130,35200
2015-04-02,35180,35270
2015-04-03,35170,35260
2015-04-04,35210,35300
2015-04-05,35210,35300
2015-04-06,35280,35370
2015-04-07,35190,35280
2015-04-08,35160,35250
2015-04-09,35140,35230
2015-04-10,35150,35240
2015-04-11,35170,35260
2015-04-12,35170,35260
2015-04-13,35140,35230
2015-04-14,35100,35190
2015-04-15,35100,35190
2015-04-16,35140,35230
2015-04-17,35110,35200
2015-04-18,35110,35200
2015-04-19,35110,35200
2015-04-20,35040,35130
2015-04-21,35010,35100
2015-04-22,35050,35140
2015-04-23,34990,35080
2015-04-24,35020,35110
2015-04-25,34980,35070
2015-04-26,34980,35070
2015-04-27,34980,35070
2015-04-28,35080,35200
2015-04-29,35130,35240
2015-04-30,35100,35220
2015-05-01,35100,35220
2015-05-02,35010,35130
2015-05-03,35010,35130
2015-05-04,35010,35080
2015-05-05,34950,35020
2015-05-06,34980,35050
2015-05-07,34970,35030
2015-05-08,34990,35040
2015-05-09,34980,35050
2015-05-10,34980,35050
2015-05-11,34980,35050
2015-05-12,34970,35050
2015-05-13,34970,35040
2015-05-14,35040,35100
2015-05-15,35020,35080
2015-05-16,35040,35110
2015-05-17,35040,35110
2015-05-18,35030,35090
2015-05-19,34970,35040
2015-05-20,34950,35010
2015-05-21,34960,35020
2015-05-22,34950,35010
2015-05-23,34930,35000
2015-05-24,34930,35000
2015-05-25,34920,34980
2015-05-26,34880,34940
2015-05-27,34850,34910
2015-05-28,34850,34910
2015-05-29,34880,34940
2015-05-30,34880,34950
2015-05-31,34880,34950
2015-06-01,34870,34930
2015-06-02,34860,34920
2015-06-03,34880,34940
2015-06-04,34820,34880
2015-06-05,34760,34820
2015-06-06,34750,34810
2015-06-07,34750,34810
2015-06-08,34720,34780
2015-06-09,34700,34760
2015-06-10,34680,34740
2015-06-11,34670,34730
2015-06-12,34670,34730
2015-06-13,34680,34740
2015-06-14,34680,34740
2015-06-15,34660,34720
2015-06-16,34680,34740
2015-06-17,34650,34710
2015-06-18,34680,34740
2015-06-19,34670,34750
2015-06-20,34670,34750
2015-06-21,34670,34750
2015-06-22,34630,34690
2015-06-23,34540,34600
2015-06-24,34400,34460
2015-06-25,34340,34400
2015-06-26,34330,34400
2015-06-27,34350,34430
2015-06-28,34350,34430
2015-06-29,34370,34450
2015-06-30,34380,34460
2015-07-01,34350,34430
2015-07-02,34280,34360
2015-07-03,34270,34340
2015-07-04,34280,34350
2015-07-05,34280,34350
2015-07-06,34250,34320
2015-07-07,34220,34300
2015-07-08,34060,34130
2015-07-09,33980,34060
2015-07-10,33950,34040
2015-07-11,33970,34060
2015-07-12,33970,34060
2015-07-13,33930,34000
2015-07-14,33870,33940
2015-07-15,33680,33760
2015-07-16,32850,33050
2015-07-17,33250,33500
2015-07-18,33100,33350
2015-07-19,33100,33350
2015-07-20,32900,33200
2015-07-21,32930,33180
2015-07-22,32920,33100
2015-07-23,33050,33200
2015-07-24,32880,33060
2015-07-25,32980,33180
2015-07-26,32980,33180
2015-07-27,32970,33100
2015-07-28,32940,33060
2015-07-29,32980,33080
2015-07-30,32930,33030
2015-07-31,32940,33040
2015-08-01,32980,33120
2015-08-02,32980,33120
2015-08-03,32940,33040
2015-08-04,32860,32960
2015-08-05,32820,32940
2015-08-06,32750,32870
2015-08-07,32790,32910
2015-08-08,32790,32910
2015-08-09,32790,32910
2015-08-10,32820,32920
