date,buy_price,sell_price
2009-07-22,21060,21120
2009-07-23,21140,21190
2009-07-24,21090,21140
2009-07-25,21090,21140
2009-07-26,21090,21140
2009-07-27,21130,21190
2009-07-28,21130,21190
2009-07-29,21130,21190
2009-07-30,21130,21190
2009-07-31,21130,21190
2009-08-01,21130,21190
2009-08-02,21130,21190
2009-08-03,21130,21190
2009-08-04,21130,21190
2009-08-05,21130,21190
2009-08-06,21130,21190
2009-08-07,21130,21190
2009-08-08,21130,21190
2009-08-09,21130,21190
2009-08-10,21130,21190
2009-08-11,21130,21190
2009-08-12,21130,21190
2009-08-13,21130,21190
2009-08-14,21130,21190
2009-08-15,21130,21190
2009-08-16,21130,21190
2009-08-17,21130,21190
2009-08-18,21130,21190
2009-08-19,21130,21190
2009-08-20,21130,21190
2009-08-21,21130,21190
2009-08-22,21130,21190
2009-08-23,21130,21190
2009-08-24,21130,21190
2009-08-25,21130,21190
2009-08-26,21130,21190
2009-08-27,,
2009-08-28,,
2009-08-29,,
2009-08-30,,
2009-08-31,,
2009-09-01,,
2009-09-02,,
2009-09-03,,
2009-09-04,,
2009-09-05,,
2009-09-06,,
2009-09-07,,
2009-09-08,,
2009-09-09,,
2009-09-10,,
2009-09-11,,
2009-09-12,,
2009-09-13,,
2009-09-14,,
2009-09-15,,
2009-09-16,,
2009-09-17,,
2009-09-18,,
2009-09-19,,
2009-09-20,,
2009-09-21,22090,22140
2009-09-22,22220,22280
2009-09-23,22270,22320
2009-09-24,22230,22280
2009-09-25,22070,22130
2009-09-26,22040,22090
2009-09-27,22040,22090
2009-09-28,22070,22120
2009-09-29,22090,22140
2009-09-30,22190,22240
2009-10-01,22250,22300
2009-10-02,22180,22230
2009-10-03,22220,22270
2009-10-04,22220,22270
2009-10-05,22270,22320
2009-10-06,22500,22560
2009-10-07,22920,22990
2009-10-08,23130,23190
2009-10-09,23040,23090
2009-10-10,23070,23120
2009-10-11,23070,23120
2009-10-12,23150,23200
2009-10-13,23490,23550
2009-10-14,23760,23840
2009-10-15,23570,23640
2009-10-16,23470,23520
2009-10-17,23570,23620
2009-10-18,23570,23620
2009-10-19,23650,23700
2009-10-20,23820,23890
2009-10-21,23740,23790
