date,buy_price,sell_price
2015-01-01,34950,35150
2015-01-02,34950,35150
2015-01-03,34950,35150
2015-01-04,34950,35150
2015-01-05,35090,35190
2015-01-06,35150,35250
2015-01-07,35200,35300
2015-01-08,35120,35220
2015-01-09,35110,35210
2015-01-10,35170,35270
2015-01-11,35170,35270
2015-01-12,35170,35270
2015-01-13,35260,35360
2015-01-14,35200,35300
2015-01-15,35200,35300
2015-01-16,35360,35460
2015-01-17,35500,35600
2015-01-18,35500,35600
2015-01-19,35460,35560
2015-01-20,35460,35560
2015-01-21,35720,35820
2015-01-22,35610,35710
2015-01-23,35590,35690
2015-01-24,35570,35670
2015-01-25,35570,35670
2015-01-26,35380,35480
2015-01-27,35320,35420
2015-01-28,35360,35460
2015-01-29,35310,35410
2015-01-30,35240,35340
2015-01-31,35330,35430
2015-02-01,35330,35430
2015-02-02,35240,35340
2015-02-03,35280,35380
2015-02-04,35210,35310
2015-02-05,35230,35330
2015-02-06,35230,35330
2015-02-07,35120,35220
2015-02-08,35120,35220
2015-02-09,35190,35290
2015-02-10,35200,35300
2015-02-11,35210,35310
2015-02-12,35230,35330
2015-02-13,35300,35420
2015-02-14,35360,35480
2015-02-15,35360,35480
2015-02-16,35600,35800
2015-02-17,35600,35800
2015-02-18,35600,35800
2015-02-19,35600,35800
2015-02-20,35600,35800
2015-02-21,35600,35800
2015-02-22,35600,35800
2015-02-23,35600,35800
2015-02-24,35250,35350
2015-02-25,35380,35480
2015-02-26,35590,35690
2015-02-27,35420,35550
2015-02-28,35400,35650
2015-03-01,35400,35650
2015-03-02,35420,35520
2015-03-03,35350,35450
2015-03-04,35320,35420
2015-03-05,35290,35390
2015-03-06,35290,35390
2015-03-07,35120,35250
2015-03-08,35120,35250
2015-03-09,35210,35310
2015-03-10,35170,35270
2015-03-11,35180,35280
2015-03-12,35200,35300
2015-03-13,35240,35340
2015-03-14,35320,35420
2015-03-15,35320,35420
2015-03-16,35250,35350
2015-03-17,35200,35300
2015-03-18,35180,35280
2015-03-19,35230,35330
2015-03-20,35230,35330
2015-03-21,35260,35380
2015-03-22,35260,35380
2015-03-23,35260,35360
2015-03-24,35260,35360
2015-03-25,35230,35330
2015-03-26,35300,35400
2015-03-27,35230,35330
2015-03-28,35230,35330
2015-03-29,35230,35330
2015-03-30,35160,35240
2015-03-31,35090,35170
2015-04-01,35120,35200
2015-04-02,35170,35270
2015-04-03,35160,35260
2015-04-04,35210,35310
2015-04-05,35210,35310
2015-04-06,35260,35360
2015-04-07,35180,35280
2015-04-08,35160,35260
2015-04-09,35130,35230
2015-04-10,35140,35240
2015-04-11,35170,35270
2015-04-12,35170,35270
2015-04-13,35120,35220
2015-04-14,35090,35190
2015-04-15,35090,35190
2015-04-16,35130,35230
2015-04-17,35090,35190
2015-04-18,35100,35200
2015-04-19,35100,35200
2015-04-20,35030,35130
2015-04-21,35010,35110
2015-04-22,35040,35140
2015-04-23,34980,35080
2015-04-24,35000,35100
2015-04-25,34960,35060
2015-04-26,34960,35060
2015-04-27,34970,35070
2015-04-28,34970,35070
2015-04-29,34970,35070
2015-04-30,34970,35070
2015-05-01,34970,35070
2015-05-02,35000,35130
2015-05-03,35000,35130
2015-05-04,34980,35030
2015-05-05,34950,35010
2015-05-06,34980,35040
2015-05-07,34970,35030
2015-05-08,34990,35040
2015-05-09,34980,35040
2015-05-10,34980,35040
2015-05-11,34970,35030
2015-05-12,34960,35020
2015-05-13,34970,35030
2015-05-14,35030,35090
2015-05-15,35020,35080
2015-05-16,35040,35100
2015-05-17,35040,35100
2015-05-18,35030,35090
2015-05-19,34980,35040
2015-05-20,34950,35010
2015-05-21,34950,35010
2015-05-22,34950,35010
2015-05-23,34930,34990
2015-05-24,34930,34990
2015-05-25,34910,34970
2015-05-26,34880,34940
2015-05-27,34840,34900
2015-05-28,34860,34920
2015-05-29,34880,34940
2015-05-30,34890,34950
2015-05-31,34890,34950
2015-06-01,34870,34930
2015-06-02,34850,34910
2015-06-03,34870,34930
2015-06-04,34820,34880
2015-06-05,34760,34820
2015-06-06,34750,34810
2015-06-07,34750,34810
2015-06-08,34710,34770
2015-06-09,34710,34770
2015-06-10,34680,34740
2015-06-11,34660,34720
2015-06-12,34670,34730
2015-06-13,34680,34740
2015-06-14,34680,34740
2015-06-15,34660,34720
2015-06-16,34670,34730
2015-06-17,34650,34710
2015-06-18,34680,34740
2015-06-19,34660,34760
2015-06-20,34660,34760
2015-06-21,34660,34760
2015-06-22,34630,34690
2015-06-23,34520,34580
2015-06-24,34390,34450
2015-06-25,34330,34400
2015-06-26,34340,34400
2015-06-27,34350,34430
2015-06-28,34350,34430
2015-06-29,34390,34460
2015-06-30,34390,34460
2015-07-01,34340,34420
2015-07-02,34270,34340
2015-07-03,34270,34340
2015-07-04,34270,34350
2015-07-05,34270,34350
2015-07-06,34250,34320
2015-07-07,34220,34300
2015-07-08,34050,34130
2015-07-09,33980,34060
2015-07-10,33950,34040
2015-07-11,33980,34070
2015-07-12,33980,34070
2015-07-13,33930,34000
2015-07-14,33870,33940
2015-07-15,33650,33730
2015-07-16,32820,33020
2015-07-17,33250,33500
2015-07-18,33000,33300
2015-07-19,33000,33300
2015-07-20,32900,33200
2015-07-21,32930,33180
2015-07-22,32920,33100
2015-07-23,33050,33200
2015-07-24,32880,33060
2015-07-25,32980,33180
2015-07-26,32980,33180
2015-07-27,32960,33090
2015-07-28,32930,33050
2015-07-29,32980,33080
2015-07-30,32950,33050
2015-07-31,32940,33040
2015-08-01,32980,33120
2015-08-02,32980,33120
2015-08-03,32930,33030
2015-08-04,32860,32960
2015-08-05,32800,32920
2015-08-06,32750,32870
2015-08-07,32780,32900
2015-08-08,32780,32900
2015-08-09,32780,32900
2015-08-10,32820,32920
2015-08-11,32920,33060
2015-08-12,33370,33720
2015-08-13,34100,34800
2015-08-14,33700,34200
2015-08-15,33750,34250
2015-08-16,33750,34250
2015-08-17,33880,34180
2015-08-18,33800,34100
2015-08-19,33900,34600
2015-08-20,33900,34550
2015-08-21,34400,35300
2015-08-22,34600,35300
2015-08-23,34600,35300
2015-08-24,34700,35300
2015-08-25,34600,35150
2015-08-26,33950,34500
2015-08-27,33750,34250
2015-08-28,33980,34450
2015-08-29,34050,34550
2015-08-30,34050,34550
2015-08-31,34000,34400
2015-09-01,34150,34450
2015-09-02,34150,34450
2015-09-03,33970,34250
2015-09-04,33890,34210
2015-09-05,33890,34210
2015-09-06,33890,34210
2015-09-07,33920,34180
2015-09-08,33880,34130
2015-09-09,33920,34170
2015-09-10,33900,34100
2015-09-11,33930,34130
2015-09-12,33880,34130
2015-09-13,33880,34130
2015-09-14,33860,34060
2015-09-15,33850,34070
2015-09-16,33850,34080
2015-09-17,33940,34160
2015-09-18,34050,34270
2015-09-19,34050,34290
2015-09-20,34050,34290
2015-09-21,34020,34250
2015-09-22,33920,34140
2015-09-23,33830,34050
2015-09-24,33880,34100
2015-09-25,33920,34140
2015-09-26,33900,34150
2015-09-27,33900,34150
2015-09-28,33760,33980
2015-09-29,33660,33880
2015-09-30,33670,33900
2015-10-01,33620,33840
2015-10-02,33590,33810
2015-10-03,33750,34000
2015-10-04,33750,34000
2015-10-05,33690,33910
2015-10-06,33650,33870
2015-10-07,33700,33920
2015-10-08,33650,33870
2015-10-09,33720,33940
2015-10-10,33730,33960
2015-10-11,33730,33960
2015-10-12,33820,34040
2015-10-13,33750,33970
2015-10-14,33840,34060
2015-10-15,33940,34170
2015-10-16,33890,34120
2015-10-17,33850,34080
2015-10-18,33850,34080
2015-10-19,33760,33980
2015-10-20,33740,33960
2015-10-21,33760,33980
2015-10-22,33750,33970
2015-10-23,33780,34000
2015-10-24,33710,33960
2015-10-25,33710,33960
2015-10-26,33730,33950
2015-10-27,33730,33950
2015-10-28,33730,33950
2015-10-29,33650,33870
2015-10-30,33570,33800
2015-10-31,33560,33790
2015-11-01,33560,33790
2015-11-02,33560,33780
2015-11-03,33520,33730
2015-11-04,33330,33560
2015-11-05,33150,33380
2015-11-06,33280,33500
2015-11-07,33210,33440
2015-11-08,33210,33440
2015-11-09,33220,33440
2015-11-10,33250,33470
2015-11-11,33220,33440
2015-11-12,33200,33420
2015-11-13,33140,33360
2015-11-14,33140,33360
2015-11-15,33140,33360
2015-11-16,33260,33490
2015-11-17,33190,33420
2015-11-18,33070,33300
2015-11-19,33140,33370
2015-11-20,33170,33400
2015-11-21,33150,33380
2015-11-22,33150,33380
2015-11-23,33060,33300
2015-11-24,33060,33290
2015-11-25,33050,33290
2015-11-26,33050,33290
2015-11-27,33000,33250
2015-11-28,32940,33210
2015-11-29,32940,33210
2015-11-30,32840,33080
2015-12-01,32890,33130
2015-12-02,32850,33090
2015-12-03,32710,32950
2015-12-04,32780,33020
2015-12-05,33000,33250
2015-12-06,33000,33250
2015-12-07,32990,33240
2015-12-08,32950,33200
2015-12-09,32990,33240
2015-12-10,32930,33180
2015-12-11,32890,33140
2015-12-12,32920,33170
2015-12-13,32920,33170
2015-12-14,32870,33120
2015-12-15,32800,33050
2015-12-16,32830,33080
2015-12-17,32790,33060
2015-12-18,32710,32990
2015-12-19,32780,33050
2015-12-20,32780,33050
2015-12-21,32810,33080
2015-12-22,32810,33080
2015-12-23,32770,33050
2015-12-24,32800,33080
2015-12-25,32770,33050
2015-12-26,32760,33040
2015-12-27,32760,33040
2015-12-28,32600,32950
2015-12-29,32470,32870
2015-12-30,32420,32800
2015-12-31,32200,32700
2016-01-01,32550,32900
2016-01-02,32580,32880
2016-01-03,32580,32880
2016-01-04,32670,32920
2016-01-05,32610,32890
2016-01-06,32610,32890
2016-01-07,32740,33020
2016-01-08,32780,33080
2016-01-09,32840,33140
2016-01-10,32840,33140
2016-01-11,32850,33150
2016-01-12,32760,33060
2016-01-13,32620,32880
2016-01-14,32660,32920
2016-01-15,32610,32870
2016-01-16,32650,32920
2016-01-17,32650,32920
2016-01-18,32570,32830
2016-01-19,32590,32850
2016-01-20,32580,32840
2016-01-21,32640,32900
2016-01-22,32600,32860
2016-01-23,32640,32910
2016-01-24,32640,32910
2016-01-25,32590,32860
2016-01-26,32660,32920
2016-01-27,32680,32950
2016-01-28,32690,32950
2016-01-29,32620,32890
2016-01-30,32650,32920
2016-01-31,32650,32920
2016-02-01,32670,32940
2016-02-02,32730,33000
2016-02-03,32800,33070
2016-02-04,32970,33250
2016-02-05,33080,33380
2016-02-06,33080,33380
2016-02-07,33080,33380
2016-02-08,33080,33380
2016-02-09,33080,33380
2016-02-10,33080,33380
2016-02-11,33080,33380
2016-02-12,33500,34400
2016-02-13,33500,34400
2016-02-14,33500,34400
2016-02-15,33380,33730
2016-02-16,33450,33800
2016-02-17,33100,33550
2016-02-18,33130,33450
2016-02-19,33270,33630
2016-02-20,33300,33650
2016-02-21,33300,33650
2016-02-22,33120,33420
2016-02-23,33220,33520
2016-02-24,33360,33660
2016-02-25,33350,33650
2016-02-26,33300,33600
2016-02-27,33200,33500
2016-02-28,33200,33500
2016-02-29,33290,33590
2016-03-01,33370,33670
2016-03-02,33240,33540
2016-03-03,33310,33610
2016-03-04,33820,34070
2016-03-05,33730,34030
2016-03-06,33730,34030
2016-03-07,33800,34050
2016-03-08,33900,34150
2016-03-09,33680,33930
2016-03-10,33550,33800
2016-03-11,33730,34030
2016-03-12,33620,33920
2016-03-13,33620,33920
2016-03-14,33680,33960
2016-03-15,33480,33780
2016-03-16,33400,33700
2016-03-17,33650,33920
2016-03-18,33650,33870
2016-03-19,33660,33880
2016-03-20,33660,33880
2016-03-21,33470,33720
2016-03-22,33500,33750
2016-03-23,33390,33640
2016-03-24,33150,33400
2016-03-25,33150,33400
2016-03-26,33150,33420
2016-03-27,33150,33420
2016-03-28,33040,33290
2016-03-29,33010,33260
2016-03-30,33100,33350
2016-03-31,33090,33340
2016-04-01,33080,33330
2016-04-02,33000,33270
2016-04-03,33000,33270
2016-04-04,32990,33240
2016-04-05,33030,33280
2016-04-06,32980,33230
2016-04-07,33080,33330
2016-04-08,33050,33250
2016-04-09,33050,33280
2016-04-10,33050,33280
2016-04-11,33200,33430
2016-04-12,33370,33620
2016-04-13,33200,33450
2016-04-14,33120,33370
2016-04-15,33050,33300
2016-04-16,33050,33300
2016-04-17,33050,33300
2016-04-18,33100,33400
2016-04-19,33120,33340
2016-04-20,33210,33430
2016-04-21,33300,33520
2016-04-22,33200,33430
2016-04-23,33120,33370
2016-04-24,33120,33370
2016-04-25,33070,33320
2016-04-26,33050,33300
2016-04-27,33170,33340
2016-04-28,33250,33500
2016-04-29,33600,33800
2016-04-30,33950,34350
2016-05-01,33950,34350
2016-05-02,33950,34350
2016-05-03,33950,34350
2016-05-04,33780,33980
2016-05-05,33740,33940
2016-05-06,33830,34030
2016-05-07,33950,34170
2016-05-08,33950,34170
2016-05-09,33820,34020
2016-05-10,33680,33880
2016-05-11,33830,34030
2016-05-12,33800,34000
2016-05-13,33900,34100
2016-05-14,33840,34070
2016-05-15,33840,34070
2016-05-16,33970,34200
2016-05-17,33930,34160
2016-05-18,33920,34150
2016-05-19,33740,33970
2016-05-20,33780,34010
2016-05-21,33730,33960
2016-05-22,33730,33960
2016-05-23,33660,33890
2016-05-24,33520,33740
2016-05-25,33190,33440
2016-05-26,33270,33500
2016-05-27,33200,33430
2016-05-28,33140,33390
2016-05-29,33140,33390
2016-05-30,33080,33330
2016-05-31,33110,33350
2016-06-01,33220,33460
2016-06-02,33220,33460
2016-06-03,33160,33400
2016-06-04,33430,33680
2016-06-05,33430,33680
2016-06-06,33390,33630
2016-06-07,33340,33580
2016-06-08,33430,33670
2016-06-09,33560,33800
2016-06-10,33690,33930
2016-06-11,33810,34060
2016-06-12,33810,34060
2016-06-13,34020,34270
2016-06-14,33900,34150
2016-06-15,33990,34240
2016-06-16,34510,34810
2016-06-17,34080,34380
2016-06-18,34370,34670
2016-06-19,34370,34670
2016-06-20,34170,34470
2016-06-21,34060,34360
2016-06-22,33690,33990
2016-06-23,33800,34100
2016-06-24,34600,35100
2016-06-25,34650,35150
2016-06-26,34650,35150
2016-06-27,34850,35350
2016-06-28,34640,35040
2016-06-29,34900,35220
2016-06-30,34900,35220
2016-07-01,35230,35580
2016-07-02,35450,35850
2016-07-03,35450,35850
2016-07-04,36350,36900
2016-07-05,36350,36900
2016-07-06,38700,39700
2016-07-07,36500,37500
2016-07-08,36600,37300
2016-07-09,36900,37600
2016-07-10,36900,37600
2016-07-11,36900,37500
2016-07-12,36700,37300
2016-07-13,36650,37050
2016-07-14,36420,36860
2016-07-15,36490,36870
2016-07-16,36680,37100
2016-07-17,36680,37100
2016-07-18,36450,36830
2016-07-19,36440,36820
2016-07-20,36420,36780
2016-07-21,36330,36660
2016-07-22,36350,36680
2016-07-23,36310,36650
2016-07-24,36310,36650
2016-07-25,36220,36530
2016-07-26,36300,36580
2016-07-27,36240,36500
2016-07-28,36460,36720
2016-07-29,36320,36570
2016-07-30,36470,36750
2016-07-31,36470,36750
2016-08-01,36470,36740
2016-08-02,36590,36850
2016-08-03,36700,36970
2016-08-04,36600,36850
2016-08-05,36660,36910
2016-08-06,36330,36620
2016-08-07,36330,36620
2016-08-08,36320,36580
2016-08-09,36380,36630
2016-08-10,36540,36800
2016-08-11,36460,36720
2016-08-12,36390,36650
2016-08-13,36380,36650
2016-08-14,36380,36650
2016-08-15,36450,36700
2016-08-16,36540,36780
2016-08-17,36460,36710
2016-08-18,36490,36750
2016-08-19,36480,36730
2016-08-20,36400,36670
2016-08-21,36400,36670
2016-08-22,36350,36610
2016-08-23,36390,36650
2016-08-24,36370,36630
2016-08-25,36300,36560
2016-08-26,36330,36580
2016-08-27,36290,36550
2016-08-28,36290,36550
2016-08-29,36240,36500
2016-08-30,36220,36490
2016-08-31,36130,36390
2016-09-01,35930,36200
2016-09-02,35930,36200
2016-09-03,35930,36200
2016-09-04,35930,36200
2016-09-05,36150,36380
2016-09-06,36150,36390
2016-09-07,36310,36570
2016-09-08,36300,36550
2016-09-09,36170,36420
2016-09-10,36090,36360
2016-09-11,36090,36360
2016-09-12,36060,36310
2016-09-13,36080,36330
2016-09-14,36050,36290
2016-09-15,36010,36250
2016-09-16,35960,36210
2016-09-17,35950,36200
2016-09-18,35950,36200
